SDSS|z|F1.4GHz|F[OIII]|Cr|logLr|logL[OIII]
 | |mJy|10-20W/m2| |[10-7W]|[10-7W]
-------------------|------|------|-----|-----|-----|-----
J002900.98-011341.7| 0.083| 282.8|158.5| 3.33|40.86|40.46
J003930.52-103218.6| 0.129|  23.7|  1.9| 3.14|40.19|38.94
J004148.22-091703.1| 0.053|  53.0| 25.6| 3.01|39.72|39.26
J004300.63-091346.3| 0.076| 148.4| 40.7| 3.32|40.50|39.79
J004530.46-004746.9| 0.147|  12.4| 15.1| 3.08|40.03|39.97
J011255.11-095040.6| 0.124|  81.7| 20.8| 2.99|40.69|39.95
J013327.25-082416.4| 0.149| 218.8| 31.9| 3.35|41.29|40.31
J013412.78-010729.4| 0.079| 119.6| 39.6| 3.55|40.44|39.81
J013503.43-005427.6| 0.080|  39.3| 27.8| 3.25|39.96|39.67
J014029.59+001825.8| 0.148|  12.3|  8.2| 3.34|40.03|39.71
J015253.79-001005.5| 0.082|  13.1| 22.8| 3.43|39.52|39.61
J025227.52-075605.4| 0.078|  99.7| 10.4| 3.00|40.35|39.22
J025437.99+005621.9| 0.067| 116.0| 52.4| 3.18|40.27|39.78
J073014.37+393200.4| 0.142|  11.3|  5.3| 3.08|39.96|39.48
J073505.25+415827.5| 0.087|  67.6| 21.9| 2.29|40.28|39.65
J073719.18+292932.0| 0.111|  43.0|  4.7| 2.84|40.30|39.19
J074125.85+480914.3| 0.120|  25.7| 13.0| 2.91|40.16|39.72
J074351.25+282128.0| 0.106|  20.2| 15.5| 3.34|39.94|39.68
J075309.91+355557.1| 0.113|  94.6|  9.0| 2.98|40.67|39.50
J075506.67+262115.9| 0.123|  46.0|  3.1| 3.03|40.43|39.12
J080113.28+344030.8| 0.083|  45.0|  5.5| 3.13|40.06|39.00
J080326.62+303725.0| 0.144|   7.4|  1.0| 2.97|39.79|38.75
J080923.10+211546.2| 0.142|  10.6| 11.8| 3.09|39.93|39.83
J081523.21+115715.1| 0.100|  40.0|  3.6| 3.27|40.18|39.00
J081604.40+112449.4| 0.122|  34.6| 14.9| 3.43|40.30|39.79
J081614.27+425657.6| 0.127| 121.0| 11.3| 3.09|40.88|39.70
J081849.74+040631.5| 0.095|  61.5| 18.3| 3.18|40.32|39.64
J081932.66+200748.8| 0.117|  31.8| 11.5| 3.17|40.23|39.64
J082025.14+160123.2| 0.148|  44.2| 19.3| 2.92|40.59|40.08
J082028.09+485347.3| 0.132| 188.1| 12.3| 2.72|41.11|39.78
J082603.81+471910.3| 0.128|  25.7|  2.3| 3.49|40.22|39.02
J082729.73+530733.4| 0.119|  22.9| 16.7| 2.93|40.10|39.81
J082733.62+160053.7| 0.091|  53.0| 12.2| 3.20|40.21|39.43
J082926.46+224436.3| 0.087| 148.8|  9.3| 3.19|40.62|39.27
J083138.83+223422.9| 0.087| 185.3| 39.4| 3.32|40.72|39.90
J083159.69+303930.7| 0.107|  20.9| 52.4| 3.18|39.96|40.21
J083224.13+164949.1| 0.102|  20.2| 23.6| 3.37|39.90|39.83
J084140.57+254827.9| 0.140|  29.1| 10.6| 3.30|40.35|39.77
J084159.65+500551.7| 0.141|   7.6|  3.8| 3.15|39.78|39.33
J085321.54+331629.9| 0.126|  28.1| 15.7| 2.93|40.24|39.84
J085719.46+241142.6| 0.133|  11.8| 10.9| 3.20|39.92|39.73
J090018.16+074535.5| 0.061|  70.6| 31.0| 3.20|39.97|39.46
J090245.43+164710.4| 0.130|  15.2|  7.9| 3.16|40.00|39.57
J090543.54+401704.8| 0.128|  46.0|  9.7| 3.29|40.47|39.65
J091442.02+152155.7| 0.140|  28.3|  7.0| 3.32|40.35|39.60
J092049.04+403952.8| 0.074|  21.9| 17.2| 3.40|39.64|39.39
J092935.02+625659.3| 0.121|  50.9| 19.4| 3.11|40.46|39.89
J093058.74+034827.7| 0.089| 111.0| 22.9| 3.16|40.51|39.68
J093305.27+291015.1| 0.132|  53.6| 12.3| 3.34|40.56|39.78
J094202.04+105818.3| 0.136|  14.4|  3.5| 3.28|40.02|39.26
J094332.99+334158.3| 0.131|  23.9|  2.8| 3.24|40.21|39.14
J094614.50+581937.6| 0.147|  80.9| 21.7| 3.14|40.85|40.13
J095527.76+034516.8| 0.091|  47.0|     | 3.10|40.16|
J100451.83+543404.3| 0.047| 121.8| 56.9| 3.38|39.98|39.50
J100757.06+280147.9| 0.148|  27.3| 11.5| 3.26|40.38|39.86
J100804.13+502642.8| 0.134|  53.7|  1.9| 3.23|40.58|38.98
J101114.38+191425.7| 0.149|  31.5| 11.8| 3.38|40.45|39.87
J101545.46+311500.2| 0.125|  15.6|  4.4| 3.09|39.98|39.28
J101937.94+001955.7| 0.096|  43.0| 31.7| 3.16|40.17|39.89
J102008.61+174817.4| 0.122|  19.5|  0.7| 3.46|40.05|38.43
J102314.24+483122.0| 0.148|  31.1| 17.0| 3.24|40.44|40.03
J102603.83+390524.0| 0.145| 108.1| 11.0| 2.84|40.96|39.82
J102703.83+382013.0| 0.123|  41.0|  9.0| 3.17|40.38|39.58
J103036.15+355459.8| 0.124|  50.0|  8.5| 3.40|40.47|39.56
J103126.60+115250.5| 0.144|  25.2| 12.7| 3.15|40.32|39.87
J103258.88+564453.2| 0.045| 213.4|114.6| 3.08|40.18|39.76
J103827.01+414852.9| 0.125|  43.0| 14.7| 3.23|40.42|39.80
J103930.43+394718.9| 0.093|  23.3| 15.6| 3.34|39.88|39.56
J104045.34+395448.5| 0.134|  35.8|  2.5| 2.98|40.40|39.11
J104049.99+561508.1| 0.134|  22.3| 15.9| 3.25|40.20|39.90
J104233.38+363946.5| 0.142|  53.1|  2.0| 2.95|40.63|39.06
J104855.28+311945.2| 0.117|  52.2| 10.4| 3.08|40.44|39.59
J104907.26+551314.9| 0.126|  24.0| 23.8| 3.30|40.17|40.02
J104921.13-004005.0| 0.039| 250.0| 70.2| 2.83|40.11|39.42
J105147.39+552308.3| 0.074| 522.0| 48.5| 3.54|41.02|39.84
J105259.97+430255.0| 0.148|  52.0| 23.6| 3.32|40.66|40.17
J105344.12+492955.9| 0.140|  64.3| 33.4| 3.49|40.70|40.27
J105348.93+402345.9| 0.128| 100.1|  1.2| 3.22|40.81|38.72
J105544.98+452401.4| 0.064| 133.5|  6.8| 3.34|40.29|38.85
J105702.79+564503.1| 0.136|  15.4|  4.1| 3.39|40.05|39.33
J105847.67+164526.0| 0.116|  49.4| 16.4| 3.35|40.41|39.79
J110535.78+091956.3| 0.127|  22.3|  6.1| 3.23|40.15|39.44
J111020.07+204657.5| 0.135|  12.9|  2.9| 3.38|39.97|39.18
J111037.33+541135.7| 0.141|  23.5| 15.7| 3.08|40.27|39.95
J111211.37+304352.3| 0.106|  43.5| 24.5| 3.29|40.27|39.87
J111337.13+234846.5| 0.140|   8.4| 17.4| 3.33|39.82|39.99
J111911.13+081539.8| 0.076|  80.0| 25.6| 3.16|40.22|39.58
J112055.83+173854.0| 0.085|  21.5|  9.4| 2.85|39.75|39.25
J112352.34+443735.6| 0.139|  22.9| 10.1| 3.85|40.24|39.74
J112403.19+475814.9| 0.140|  28.2|  3.0| 3.22|40.35|39.22
J112457.40+171744.7| 0.142|   9.5|  5.0| 3.03|39.88|39.46
J112603.59+545329.1| 0.149|  16.0| 12.4| 3.46|40.16|39.90
J113012.79+235822.1| 0.140|  46.5| 19.8| 3.60|40.56|40.05
J113359.23+490343.4| 0.032| 732.0| 84.7| 3.30|40.40|39.32
J114210.72+552729.6| 0.133|  24.9|  8.8| 3.05|40.24|39.64
J114212.11+101159.0| 0.103|  46.6|  9.1| 3.10|40.28|39.42
J114345.53+192333.4| 0.094|  37.8| 17.0| 3.17|40.10|39.61
J115109.39+435918.6| 0.071|  75.0| 37.5| 3.17|40.13|39.69
J115323.89+305904.8| 0.136|  43.2|  8.9| 3.30|40.50|39.67
J115508.97+232623.4| 0.144|  26.4| 12.6| 2.98|40.34|39.87
J115729.60+292308.1| 0.140|  16.6|  9.3| 3.32|40.11|39.71
J115816.37+340605.9| 0.131|  19.8| 26.3| 3.16|40.13|40.11
J115936.05+233947.5| 0.142|  31.8|  5.0| 3.51|40.41|39.45
J120021.93-020152.7| 0.146|  40.4| 24.8| 3.12|40.54|40.18
J120401.47+201356.3| 0.024| 402.1|111.6| 3.25|39.91|39.21
J120425.29+034510.6| 0.149|  54.7|  4.2| 3.14|40.69|39.43
J120522.29+050941.4| 0.136| 105.0|  0.6| 3.47|40.88|38.49
J120943.62-020459.6| 0.100|  32.3| 23.3| 3.34|40.09|39.80
