SDSS|z|S1.4GHz|F[OIII]|lognuLr|Class
 | |mJy|10-20W/m2|[10-7W]|
-------------------|------|------|------|-----|---
J001247.57+004715.8| 0.148|  58.6|  11.5|40.72|LEG
J002107.62-005531.4| 0.108| 111.9|   3.3|40.70|LEG
J004326.80-105421.8| 0.127|  82.3| 176.6|40.72|LEG
J004404.66+010152.9| 0.112| 366.0| 126.1|41.24|LEG
J011830.65-104356.4| 0.126|  56.3|   7.0|40.54|LEG
J024558.54-064900.6| 0.139| 102.0|   4.4|40.89|LEG
J075221.83+333348.9| 0.140|  66.0|      |40.71|LEG
J075529.95+520450.6| 0.140|  99.4|   4.5|40.89|LEG
J075628.78+501716.3| 0.134| 165.0|  46.8|41.07|LEG
J080107.19+175849.7| 0.140| 847.0|   9.7|41.82|LEG
J080158.09+175152.6| 0.147|  16.9|  18.8|40.16|LEG
J080535.00+240950.3| 0.060|4781.0|2791.1|41.78|HEG
J081343.61+525738.2| 0.138| 194.6|   9.7|41.17|LEG
J081512.33+384045.4| 0.125| 487.8|  11.6|41.48|LEG
J081734.46+445850.8| 0.142| 135.6|   6.0|41.04|LEG
J082247.63+041750.0| 0.095| 132.0|  13.7|40.65|LEG
J083109.54+414738.1| 0.132| 155.0|  10.2|41.03|LEG
J083112.15+434158.4| 0.111| 121.0|  20.4|40.76|LEG
J084529.04+421952.9| 0.133| 201.0|  42.0|41.15|LEG
J084759.04+314708.3| 0.067|1647.0|  67.7|41.43|LEG
J090150.32+555527.4| 0.141| 638.0|  28.5|41.70|LEG
J091153.61+372413.3| 0.104| 596.4|  50.0|41.39|LEG
J091225.08+534139.1| 0.101| 204.1|  21.6|40.89|LEG
J091445.53+413714.2| 0.140| 449.0| 269.1|41.55|LEG
J091948.45+575055.9| 0.137|  11.5|  15.1|39.93|LEG
J092611.26+170357.9| 0.116| 163.3|  80.6|40.93|LEG
J093215.91+180419.9| 0.147|  57.0|   9.7|40.70|LEG
J093641.99+111350.9| 0.120|  48.3|   2.6|40.43|LEG
J094124.02+394441.8| 0.108|1811.0|1382.7|41.90|HEG
J094201.76+084736.8| 0.134|  97.6|  16.6|40.84|LEG
J094703.01+231614.2| 0.084|  30.8|  21.7|39.90|LEG
J095640.77-000124.0| 0.139| 166.0|  43.4|41.11|LEG
J101558.24+404647.2| 0.128|1009.0|  16.9|41.81|LEG
J101954.48+393022.8| 0.112|  52.0|   0.4|40.40|LEG
J102150.38+080833.8| 0.103| 585.7|  15.8|41.38|LEG
J102156.67+144331.4| 0.111| 412.0|1110.3|41.29|HEG
J102237.40+383444.9| 0.052| 117.4|  40.8|40.05|LEG
J103128.22+084324.1| 0.141| 347.7|  10.2|41.44|LEG
J103443.26+053319.8| 0.141| 167.1|   2.8|41.12|LEG
J103602.94+525936.1| 0.142|  30.1| 350.0|40.39|HEG
J104502.74+471759.1| 0.145|  76.2|  17.4|40.81|LEG
J104632.21+543559.7| 0.145| 279.0| 938.6|41.37|HEG
J104742.83+434652.7| 0.086| 104.0|  17.6|40.45|LEG
J105052.47+400050.7| 0.129| 147.0|  79.7|40.99|LEG
J105439.55+060630.7| 0.135|  58.7|   3.8|40.63|LEG
J110035.08+253911.0| 0.145| 242.0|  41.0|41.31|LEG
J110151.89+164038.6| 0.069| 699.0| 188.9|41.08|LEG
J110214.15+242954.7| 0.144| 108.0|  19.7|40.95|LEG
J110214.91+234111.9| 0.146|  29.0|   6.3|40.39|LEG
J110215.68+290725.2| 0.106| 145.6| 402.7|40.79|HEG
J110253.95+125904.0| 0.140|  82.0|  16.6|40.81|LEG
J111317.91+412429.3| 0.095| 115.2|   5.8|40.59|LEG
J112126.44+534456.7| 0.104|  83.0|  16.8|40.53|LEG
J113133.57+604727.9| 0.145|  19.0|  10.9|40.20|LEG
J113626.35+501323.7| 0.054|  41.0|   7.8|39.63|LEG
J114427.19+370831.8| 0.115|2012.0| 154.7|42.01|LEG
J114428.11+035815.7| 0.127|  75.6|   8.3|40.68|LEG
J114432.99+213217.0| 0.109|  35.3|  24.8|40.21|LEG
J114525.98-022332.9| 0.128|  46.8|  10.2|40.48|LEG
J114948.11+435412.6| 0.071|  58.0|  17.5|40.02|LEG
