_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
000.1002600|+12.4981300|J000024.0+122953|2| 0.764|000.10026|+12.49813| 0.6559|  6.9|  6.8| -2.6| 1.40
000.1765000|+14.5958700|J000042.3+143545|2| 0.242|000.17650|+14.59587| 0.6223| 79.5| 39.4| 38.8| 1.25
000.2285400|+03.4267600|J000054.8+032536|2| 0.445|000.22854|+03.42676| 0.5356| 34.6| 22.5| 21.2| 1.19
000.5105000|+14.5594400|J000202.5+143333|2| 0.756|000.51050|+14.55944| 0.5629| 14.5| 14.3| 12.3| 0.87
000.8894500|+03.6132100|J000333.4+033647|3| 1.025|000.88945|+03.61321| 0.0849|  2.5|  3.5| -6.4| 0.81
001.4652800|+12.0534400|J000551.6+120312|2| 0.294|001.46528|+12.05344| 0.3118|  1.1|  0.6| -7.3| 0.95
001.5346600|+12.2422400|J000608.3+121431|2| 0.545|001.53466|+12.24224| 0.4983|  3.2|  2.4| -6.9| 1.52
001.7141400|+07.0644000|J000651.3+070352|2| 0.571|001.71414|+07.06440| 0.6185|  1.7|  1.3| -7.2| 0.60
001.8672000|+11.1050600|J000728.1+110618|2| 0.975|001.86720|+11.10506| 0.6729|  3.6|  4.8| -5.5| 0.83
002.0819400|+11.9138300|J000819.6+115449|2| 0.569|002.08194|+11.91383| 0.1744| 52.3| 40.1| 39.5| 0.74
002.7987300|+03.7104800|J001111.7+034237|2| 0.493|002.79873|+03.71048| 0.6603|  3.0|  2.1| -7.0| 0.99
002.8122600|+01.8150500|J001115.0+014854|2| 0.405|002.81226|+01.81505| 0.5991| 44.8| 27.6| 26.6| 1.11
003.3919800|+11.4847200|J001334.1+112905|2| 0.780|003.39198|+11.48472| 0.4221|  5.3|  5.4| -4.9| 0.96
003.6283200|+05.2728600|J001430.8+051623|2| 0.551|003.62832|+05.27286| 0.5750|  1.4|  1.1| -7.2| 1.11
003.8509200|+14.5107400|J001524.2+143038|2| 0.544|003.85092|+14.51074| 0.2252|  8.3|  6.2| -3.9| 0.91
004.0807900|+02.6183600|J001619.4+023706|2| 0.714|004.08079|+02.61836| 0.2074| 21.6| 20.1| 18.8| 0.95
004.1144700|+02.4339400|J001627.4+022602|2| 1.381|004.11447|+02.43394| 0.0549| 11.2| 25.4| 24.3| 0.86
005.1029900|+12.3303700|J002024.7+121947|2| 0.319|005.10299|+12.33037| 0.5868|  0.8|  0.5| -7.3| 1.04
005.4133700|+02.6600900|J002139.2+023935|2| 0.622|005.41337|+02.66009| 0.5342|  3.5|  2.9| -6.7| 1.21
006.1766300|+07.5270800|J002442.4+073137|2| 0.381|006.17663|+07.52708| 0.3627|  8.9|  5.3| -5.0| 0.99
006.2805800|+04.3143700|J002507.3+041851|3| 0.688|006.28058|+04.31437| 0.7463|  0.5|  0.4| -7.3| 1.08
006.3246900|+10.0546200|J002517.9+100316|2| 0.603|006.32469|+10.05462| 0.4685|  1.1|  0.9| -7.2| 0.89
006.4156700|+03.6459600|J002539.7+033845|2| 0.631|006.41567|+03.64596| 0.3457|  7.0|  5.8| -4.4| 0.82
006.8563600|+10.1700100|J002725.5+101009|2| 0.383|006.85636|+10.17001| 0.4714|  5.5|  3.3| -6.5| 1.70
007.1498500|+08.9874500|J002835.9+085914|2| 0.294|007.14985|+08.98745| 0.5666| 16.0|  8.5|  4.4| 1.33
007.3703600|+04.4051100|J002928.8+042418|2| 0.550|007.37036|+04.40511| 0.3857|  5.9|  4.4| -5.8| 0.98
008.0119700|+02.9871500|J003202.8+025916|2| 0.408|008.01197|+02.98715| 0.5762|  3.0|  1.9| -7.0| 1.52
008.4823700|+03.4920400|J003355.7+032932|2| 0.535|008.48237|+03.49204| 0.5629|  4.9|  3.6| -6.4| 1.23
008.5850600|+03.7921400|J003420.4+034731|2| 0.539|008.58506|+03.79214| 0.1480|  9.8|  7.3| -1.0| 1.00
008.6271000|+11.6780300|J003430.4+114040|3| 0.543|008.62710|+11.67803| 0.4318| 68.3| 50.6| 50.0| 1.01
008.8768100|+12.6190300|J003530.3+123708|2| 1.138|008.87681|+12.61903| 0.5878| 22.0| 36.2| 35.4| 1.17
009.2795000|+09.1321600|J003707.0+090755|2| 1.001|009.27950|+09.13216| 0.6231|  1.6|  2.2| -7.0| 0.93
009.7620800|+08.4260100|J003902.8+082532|2| 0.953|009.76208|+08.42601| 0.4402|  4.6|  5.9| -4.3| 0.58
009.9996300|+15.0394000|J003959.7+150221|2| 0.744|009.99963|+15.03940| 0.2547|  3.8|  3.7| -6.3| 1.29
010.1062800|+12.2561700|J004025.4+121523|2| 0.766|010.10628|+12.25617| 0.5778| 39.6| 39.5| 38.9| 0.73
010.3347000|+12.6438900|J004120.3+123836|2| 0.500|010.33470|+12.64389| 0.5355|  4.4|  3.1| -6.6| 1.03
011.0312300|+03.3501900|J004407.4+032100|2| 0.619|011.03123|+03.35019| 0.6201| 38.1| 31.3| 30.3| 0.74
011.1839100|+08.1029700|J004444.2+080609|2| 0.795|011.18391|+08.10297| 0.3025| 12.1| 12.5| 10.2| 1.24
011.2091100|+02.1502100|J004450.1+020901|2| 0.472|011.20911|+02.15021| 0.6858|  3.7|  2.5| -6.9| 0.83
011.3277000|+08.6867100|J004518.6+084111|2| 0.597|011.32770|+08.68671| 0.2448| 15.7| 12.5| 10.1| 1.04
011.5240500|+01.5158600|J004605.7+013056|2| 0.682|011.52405|+01.51586| 0.2972|  7.7|  6.8| -2.6| 1.23
011.7968100|+10.5827700|J004711.2+103458|3| 0.556|011.79681|+10.58277| 0.3517|131.9| 99.5| 99.2| 0.89
011.9795200|+03.6631300|J004755.1+033946|2| 0.375|011.97952|+03.66313| 0.4667| 18.6| 11.0|  8.3| 0.68
012.4649300|+03.2484300|J004951.5+031454|2| 0.544|012.46493|+03.24843| 0.4458| 72.3| 53.6| 53.0| 0.83
012.6148900|+09.4555400|J005027.6+092719|2| 1.182|012.61489|+09.45554| 0.4574|  4.5|  7.8|  2.8| 0.82
012.6540800|+03.2304200|J005036.9+031350|2| 0.348|012.65408|+03.23042| 0.4441| 16.4|  9.3|  5.9| 1.17
012.9081700|+09.4457000|J005138.0+092644|2| 0.589|012.90817|+09.44570| 0.4107|  8.8|  6.9| -2.4| 0.69
013.1085700|+12.3254600|J005226.0+121932|2| 0.849|013.10857|+12.32546| 0.4340|  0.9|  1.1| -7.2| 1.07
013.1440900|+03.2798800|J005234.5+031648|2| 0.631|013.14409|+03.27988| 0.3472|  9.9|  8.3|  3.8| 0.91
013.2570100|+04.2481200|J005301.7+041452|2| 0.482|013.25701|+04.24812| 0.7528| 23.8| 16.2| 14.5| 0.98
013.2712400|+05.5300100|J005305.1+053148|2| 0.434|013.27124|+05.53001| 0.4864|  3.4|  2.2| -7.0| 1.02
013.4363300|+01.9560600|J005344.8+015719|2| 0.350|013.43633|+01.95606| 0.3794| 29.3| 16.8| 15.1| 0.54
014.3249600|+10.2823700|J005717.9+101657|2| 0.561|014.32496|+10.28237| 0.4187|  4.4|  3.3| -6.5| 0.65
014.3662000|+02.1596000|J005727.8+020934|2| 0.598|014.36620|+02.15960| 0.2924| 14.3| 11.4|  8.7| 1.01
014.8258700|+02.3440500|J005918.1+022038|2| 0.678|014.82587|+02.34405| 0.6228|  5.4|  4.8| -5.5| 0.85
014.8816800|+02.9580800|J005931.6+025729|2| 0.457|014.88168|+02.95808| 0.4530| 46.6| 30.8| 29.9| 0.72
015.4606500|+01.5153500|J010150.5+013055|2| 0.665|015.46065|+01.51535| 0.7099| 11.7| 10.2|  7.2| 0.77
015.5291200|+09.5743500|J010206.9+093427|2| 0.520|015.52912|+09.57435| 0.2821| 29.0| 20.8| 19.5| 1.14
015.5896800|+01.8471500|J010221.5+015049|2| 0.547|015.58968|+01.84715| 0.6621| 17.5| 13.1| 10.8| 0.70
015.8173400|+10.3860300|J010316.1+102310|2| 0.451|015.81734|+10.38603| 0.4662|  8.4|  5.5| -4.8| 0.84
015.9989400|+08.8494800|J010359.7+085059|3| 0.612|015.99894|+08.84948| 0.1230| 15.2| 12.4| 10.0| 0.94
016.1001200|+02.6619600|J010424.0+023943|2| 0.563|016.10012|+02.66196| 0.3643| 30.4| 23.1| 21.9| 1.06
016.6617400|+05.0333400|J010638.8+050200|2| 0.541|016.66174|+05.03334| 0.2129|  5.5|  4.1| -6.1| 1.25
016.8019700|+11.6338000|J010712.4+113801|2| 0.523|016.80197|+11.63380| 0.5362| 26.5| 19.1| 17.6| 1.69
016.8244700|+01.7842900|J010717.8+014703|2| 0.349|016.82447|+01.78429| 0.6300|  1.1|  0.6| -7.3| 1.30
016.8426100|+12.2149500|J010722.2+121253|3| 1.419|016.84261|+12.21495| 0.2047| 18.2| 43.5| 42.9| 1.16
016.9932700|+02.8521800|J010758.3+025107|2| 0.506|016.99327|+02.85218| 0.3217|  2.0|  1.4| -7.1| 1.14
017.1075700|+06.1279400|J010825.8+060740|2| 1.220|017.10757|+06.12794| 0.5113|  4.8|  8.8|  4.9| 1.18
